,City Name,City Number,Latitude,Longitude,Temperature,Max Temperature,Humidity,Cloudiness,Wind Speed
84,Butaritari,2110227,3.07,172.79,302.6,302.6,60,55,3.07
85,Coihaique,3894426,-45.58,-72.07,281.15,281.15,65,75,2.6
86,Hilo,5855927,19.71,-155.08,298.1,305.15,59,40,6.7
87,Henties Bay,3356832,-22.12,14.28,286.48,286.48,88,0,2.89
88,Victor Harbor,2059470,-35.55,138.62,286.14,288.15,54,75,4.6
89,Naron,3115739,43.52,-8.15,288.5,290.37,82,0,3.6
90,Dikson,1507390,73.51,80.55,275.8,275.8,94,100,0.47
91,Yerofey Pavlovich,2012938,53.97,121.97,280.0,280.0,81,76,2.56
92,Chuy,3443061,-33.69,-53.46,282.6,282.6,59,0,2.8
93,Lebu,344979,8.96,38.73,286.3,286.3,94,100,1.19
94,Bosaso,64013,11.28,49.18,302.9,302.9,79,0,5.06
95,Mukhen,2019718,48.19,136.14,286.3,286.3,69,0,3.43
96,East London,1006984,-33.02,27.91,282.2,282.2,71,10,7.86
97,Tiksi,2015306,71.64,128.87,275.8,275.8,98,100,2.55
98,Baghmara,1274553,23.8,86.21,297.9,297.9,82,100,1.33
99,Atuona,4020109,-9.8,-139.03,299.8,299.8,79,20,8.35
100,Vostok,2013279,46.45,135.83,286.2,286.2,57,2,0.95
101,Padang,1633419,-0.92,100.36,299.5,299.5,79,100,4.04
102,Alwar,1278946,27.56,76.61,296.4,296.4,87,12,1.53
103,Gorontalo,1643837,0.54,123.06,300.7,300.7,68,37,1.59
104,Klaksvik,2618795,62.23,-6.59,283.15,283.15,100,36,9.3
105,Ariquemes,3665199,-9.91,-63.03,298.7,298.7,69,47,0.22
106,Khatanga,2022572,71.98,102.47,275.2,275.2,96,100,6.85
107,Comodoro Rivadavia,3860443,-45.87,-67.48,288.15,288.15,30,0,2.1
108,Souillac,3026644,45.6,-0.6,287.13,288.71,93,0,3.34
109,Georgetown,3378644,6.8,-58.16,299.15,299.15,88,20,2.1
110,Graaff-Reinet,1000543,-32.25,24.53,279.5,279.5,67,2,2.05
111,Andra,1511646,62.52,65.89,275.5,275.5,96,100,8.28
112,Touros,3386213,-5.2,-35.46,295.15,295.15,88,40,1.0
113,Geraldton,5960603,49.72,-86.95,287.15,287.15,87,75,2.1
114,Sistranda,3139597,63.73,8.83,283.15,283.15,76,20,5.1
115,Imbituba,3461370,-28.24,-48.67,290.15,290.15,63,20,5.7
116,Yellowknife,6185377,62.45,-114.38,286.15,286.15,87,75,1.5
117,Barrow,3833859,-38.31,-60.23,282.6,282.6,49,0,4.31
118,Mehriz,124274,31.58,54.44,296.15,296.15,16,0,1.0
119,Pahrump,5509851,36.21,-115.98,301.38,302.59,9,1,5.1
120,Galdar,2517436,28.15,-15.65,295.0,296.15,88,40,6.2
121,Ixtapa,4004293,20.71,-105.21,301.37,302.15,79,90,2.1
122,Lar,133595,27.66,54.32,298.15,298.15,27,0,0.14
123,Potosi,3907584,-19.59,-65.75,280.7,280.7,68,88,2.03
124,Torbay,6167817,47.66,-52.73,284.05,284.82,71,40,13.9
125,Hovd,7626384,63.83,10.7,282.26,283.15,81,0,5.1
126,Pangnirtung,6096551,66.15,-65.72,269.2,269.2,72,0,1.75
127,Kieta,2094027,-6.22,155.63,301.3,301.3,67,86,2.14
128,Kaitangata,2208248,-46.28,169.85,286.0,286.0,54,57,3.85
129,Bedele,342567,8.46,36.35,285.4,285.4,93,29,0.27
130,Tarko-Sale,1490085,64.92,77.78,279.26,279.26,94,100,13.83
131,Novi Knezevac,787600,46.04,20.09,291.5,291.5,28,100,1.83
132,Bilibino,2126682,68.06,166.44,268.3,268.3,75,94,1.38
133,Qaqortoq,3420846,60.72,-46.03,277.15,277.15,80,75,1.5
134,Menongue,3347353,-14.66,17.68,291.0,291.0,30,95,1.84
135,Hamilton,5969785,43.26,-79.87,297.9,300.15,53,1,6.7
136,Berea,4283974,37.57,-84.3,297.48,300.15,41,1,2.1
137,Kazachinskoye,1504075,57.69,93.28,281.1,281.1,76,100,5.41
138,Victoria,1733782,5.28,115.24,301.02,302.15,70,75,2.1
139,Taos,5493811,36.41,-105.57,288.55,292.59,23,1,3.1
140,Sarkand,1519691,45.41,79.91,296.9,296.9,11,58,5.3
141,Chunskiy,1507636,56.08,99.63,280.7,280.7,85,77,2.98
142,Ilulissat,3423146,69.22,-51.1,276.15,276.15,74,100,1.5
143,Tashtyp,1490036,52.8,89.89,280.1,280.1,90,0,0.25
144,Kisesa,152224,-2.55,33.05,294.15,294.15,83,20,3.13
145,Valentin Gomez Farias,4011743,24.05,-104.7,294.38,295.15,49,75,3.1
146,Konstantinovo,730435,42.0,25.79,281.15,281.15,87,5,0.23
147,Mandurah,2067119,-32.55,115.7,290.07,290.37,51,59,5.1
148,Port Alfred,964432,-33.59,26.89,284.82,284.82,86,17,1.79
149,Bayan,1813029,36.1,102.26,279.7,279.7,76,81,0.75
150,Turan,1488950,52.15,93.92,279.7,279.7,84,0,0.17
151,Bluefield,4799622,37.27,-81.22,294.86,297.15,73,1,1.38
152,Sherman,4728328,33.64,-96.61,303.12,304.82,88,1,2.1
153,Bang Saphan,1157662,11.21,99.51,298.15,298.15,100,90,0.5
154,Vardo,4372777,39.62,-77.74,297.84,300.37,54,1,3.6
